input,output
What is the maximum sentence that can be imposed on an individual who knowingly uses a misleading domain name on the Internet with the intent to deceive a minor into viewing material that is harmful to minors?,The maximum sentence that can be imposed on an individual who knowingly uses a misleading domain name on the Internet with the intent to deceive a minor into viewing material that is harmful to minors is 10 years.
What is the maximum prison sentence for someone who knowingly embeds words or digital images into the source code of a website with the intent to deceive a person into viewing material constituting obscenity?,The maximum prison sentence is 10 years.
What type of offenses are covered under the criminal forfeiture provision in 18 USC 2253?,"Offenses under this chapter involving a visual depiction described in sections 2251, 2251A, 2252, 2252A, or 2260 of this chapter; offenses under section 2252B of this chapter; and offenses under chapter 109A."
What types of property can be forfeited to the United States in a civil case according to section 2254?,"According to section 2254, any property subject to forfeiture pursuant to section 2253 may be forfeited."
What is the minimum amount of liquidated damages that can be recovered in an action under 18 USC 2255?,"The minimum amount of liquidated damages that can be recovered in an action under 18 USC 2255 is $150,000."
"What does ""sexually explicit conduct"" mean for purposes of subsection 8(B)1 of this section?","For purposes of subsection 8(B)1 of this section, ""sexually explicit conduct"" means-(i) graphic sexual intercourse, including genital-genital, oral-genital, anal-genital, or oral-anal, whether between persons of the same or opposite sex, or lascivious simulated sexual intercourse where the genitals, breast, or pubic area of any person is exhibited;(ii) graphic or lascivious simulated bestiality, masturbation, or sadistic or masochistic abuse; or(iii) graphic or simulated lascivious exhibition of the anus, genitals, or pubic area of any person."
"What are the requirements for maintaining records by a person who produces any book, magazine, periodical, film, videotape, digital image, digitally- or computer-manipulated image of an actual human being?","According to the section, a person who produces any book, magazine, periodical, film, videotape, digital image, digitally- or computer-manipulated image of an actual human being must:

* Create and maintain individually identifiable records pertaining to every performer portrayed in such a visual depiction (subsection (a)).
* Asertain, by examination of an identification document containing such information, the performer's name and date of birth, and require the performer to provide such other indicia of his or her identity as may be prescribed by regulations (subsection (b)(1) and (2)).
* Record in the records required by subsection (a) the information required by paragraphs (1) and (2) of this subsection and such other identifying information as may be prescribed by regulation (subsection (b)(3)).
* Maintain the records at his business premises, or at such other place as the Attorney General may by regulation prescribe, and make such records available to the Attorney General for inspection at all reasonable times (subsection (c)).

Additionally, the person must cause to be affixed to every copy of any matter described in paragraph (1) of subsection (a) a statement describing where the records required by this section with respect to all performers depicted in that copy of the matter may be located (subsection (e)(1))."
What are the record keeping requirements for simulated sexual conduct producers under 18 USC 2257A?,"According to 18 USC 2257A, whoever produces any book, magazine, periodical, film, videotape, digital image, digitally- or computer-manipulated image of an actual human being that contains one or more visual depictions of simulated sexually explicit conduct shall create and maintain individually identifiable records pertaining to every performer portrayed in such a visual depiction."
What is the maximum imprisonment duration for someone who fails to report suspected child abuse while engaged in a professional capacity?,"The maximum imprisonment duration for someone who fails to report suspected child abuse while engaged in a professional capacity is ""not more than 1 year""."
What is the purpose of preserving materials under 18 USC 2258A?,The purpose of preserving materials under 18 USC 2258A is to reduce the proliferation of online child sexual exploitation or prevent the online sexual exploitation of children.
What is the purpose of subsection (d) in 18 USC 2258B?,The purpose of subsection (d) is to provide limited liability for vendors contractually retained and designated by NCMEC to support the duties of NCMEC under section 404(b)(1)(K) of the Juvenile Justice and Delinquency Prevention Act of 1974.
What are the purposes for which providers can use elements relating to any CyberTipline report from NCMEC under this section?,"According to subsection (b), providers that receive elements relating to any CyberTipline report from NCMEC under this section may use such information only for the sole and exclusive purpose of permitting them to stop the online sexual exploitation of children."
What types of intentional misconduct would exempt NCMEC from limited liability protection under subsection (b)(1)?,"According to subsection (b)(1), NCMEC, or a director, officer, employee, or agent of NCMEC, engaged in ""intentional misconduct"" would exempt them from the limited liability protection. There is no further specification of what types of intentional misconduct would qualify; it appears that any act of intentional misconduct would trigger the exemption."
"What does the term ""provider"" mean in this section?","The term ""provider"" means an electronic communication service provider or remote computing service."
What is the minimum amount of restitution that must be ordered by the court when a defendant is convicted of trafficking in child pornography?,"According to subsection (b)(2)(B), the minimum amount of restitution that must be ordered by the court when a defendant is convicted of trafficking in child pornography is $3,000."
What is the maximum amount that can be assessed against a person convicted of an offense for trafficking in child pornography?,"The maximum amount that can be assessed against a person convicted of an offense for trafficking in child pornography is $35,000."
What is the purpose of the Child Pornography Victims Reserve according to this section?,"The purpose of the Child Pornography Victims Reserve is to provide defined monetary assistance to victims of child pornography, as stated in subsection (b)."
"What is the punishment for a person who knowingly receives, transports, ships, distributes, sells, or possesses with intent to transport, ship, sell, or distribute any visual depiction of a minor engaging in sexually explicit conduct?","The punishment for a person who knowingly receives, transports, ships, distributes, sells, or possesses with intent to transport, ship, sell, or distribute any visual depiction of a minor engaging in sexually explicit conduct is the penalties provided in subsection (b)(1) of section 2252 for a violation of paragraph (1), (2), or (3) of subsection (a) of that section."
What is the minimum term of imprisonment that must be served by a registered sex offender who commits a felony offense involving a minor?,The minimum term of imprisonment that must be served by a registered sex offender who commits a felony offense involving a minor is 10 years.
"What is the maximum term of imprisonment for an offender who causes serious bodily injury to their spouse, intimate partner, or dating partner in violation of this section?","The maximum term of imprisonment for an offender who causes serious bodily injury to their spouse, intimate partner, or dating partner in violation of this section is 10 years."
What is the punishment for someone who uses interstate or foreign commerce to engage in a course of conduct that places another person in reasonable fear of serious bodily injury?,The punishment for someone who uses interstate or foreign commerce to engage in a course of conduct that places another person in reasonable fear of serious bodily injury is as provided in section 2261B.
What is the maximum term of imprisonment for an offender who violates section 2261A when the victim is under the age of 18 years?,The maximum imprisonment for the offense is 5 years greater than the maximum term of imprisonment otherwise provided for that offense in section 2261.
What is the maximum sentence for an offender who causes serious bodily injury to the victim?,The maximum sentence for an offender who causes serious bodily injury to the victim is 10 years imprisonment (subsection (b)(3)).
What is the purpose of allowing the alleged victim to be heard in a proceeding for pretrial release of a defendant under 18 USC 2263?,"To determine whether a defendant charged under this chapter shall be released pending trial, or for the purpose of determining conditions of such release."
"What is the scope of an order of restitution under 18 USC 2264, including any costs incurred by the victim?","According to 18 USC 2264(b)(1), the scope of an order of restitution shall direct the defendant to pay the victim the full amount of the victim's losses as determined by the court. This includes any costs incurred by the victim for medical services, physical and occupational therapy or rehabilitation, necessary transportation, temporary housing, child care expenses, lost income, attorneys' fees, veterinary services, and any other losses suffered by the victim as a proximate result of the offense."
"What are the requirements for a protection order to be accorded full faith and credit by another State, Indian tribe, or territory?","A protection order is accorded full faith and credit if it meets the following conditions:

1. The issuing court has jurisdiction over the parties and matter under the law of that State, Indian tribe, or territory.
2. Reasonable notice and opportunity to be heard are given to the person against whom the order is sought, sufficient to protect their right to due process.

Additionally, ex parte orders must provide notice and opportunity to be heard within the time required by State, tribal, or territorial law, and in any event within a reasonable time after the order is issued."
What is the maximum term of imprisonment for a violation of this chapter after a prior domestic violence or stalking offense?,The maximum term of imprisonment for a violation of this chapter after a prior domestic violence or stalking offense is twice the term otherwise provided under this chapter.
"What is the definition of ""protection order"" according to 18 USC 2266?","According to 18 USC 2266, a protection order includes:

(A) any injunction, restraining order, or any other order issued by a civil or criminal court for the purpose of preventing violent or threatening acts or harassment against, sexual violence, or contact or communication with or physical proximity to, another person, including any temporary or final order issued by a civil or criminal court whether obtained by filing an independent action or as a pendente lite order in another proceeding so long as any civil or criminal order was issued in response to a complaint, petition, or motion filed by or on behalf of a person seeking protection; and
(B) any support, child custody or visitation provisions, orders, remedies or relief issued as part of a protection order, restraining order, or injunction pursuant to State, tribal, territorial, or local law authorizing the issuance of protection orders, restraining orders, or injunctions for the protection of victims of domestic violence, sexual assault, dating violence, or stalking."
"What is the maximum term of imprisonment for an individual who conspires to destroy a vessel, as described in 18 USC 2271?",The maximum term of imprisonment is ten years.
What is the maximum sentence that can be imposed upon someone who willfully and corruptly destroys their own vessel with intent to injure others?,Life or for any term of years.
What is the maximum imprisonment period for an individual who willfully and corruptly destroys a vessel of the United States?,The maximum imprisonment period is not more than ten years.
"What are the consequences for someone who willfully causes or permits the destruction or injury of their private vessel, with knowledge of the owner or master or other person in charge or command thereof?","According to the section, such a person shall be fined under this title or imprisoned not more than ten years, or both. Additionally, the vessel, together with her tackle, apparel, furniture, and equipment, shall be subject to seizure and forfeiture to the United States in the same manner as merchandise is forfeited for violation of the customs revenue laws."
What is the maximum punishment for someone who sets fire to or tampers with a vessel of American registry while within the jurisdiction of the United States?,"The maximum punishment for someone who sets fire to or tampers with a vessel of American registry while within the jurisdiction of the United States is imprisonment not more than twenty years, or both."
What is the maximum term of imprisonment for someone who breaks into a vessel with intent to commit a felony?,Not more than five years.
"Who is exempt from obtaining permission to bring, carry, or possess a dangerous weapon or explosive on board a United States vessel?","The personnel of the Armed Forces of the United States or to officers or employees of the United States or of a State or of a political subdivision thereof, while acting in the performance of their duties, who are authorized by law or by rules or regulations to own or possess any such weapon or explosive."
"What is the penalty for a master of a steamship or other vessel who takes, carries, or has certain explosives or articles on board without proper authorization?","The penalty for a master of a steamship or other vessel who takes, carries, or has certain explosives or articles on board without proper authorization is to be fined under this title or imprisoned not more than one year, or both."
What is the penalty for someone who goes on board a vessel before its arrival at its destination without being authorized by law?,"The penalty is to be fined under this title or imprisoned not more than six months, or both."
"What is the meaning given to the term ""ship"" in this section?","The term ""ship"" means a vessel of any type whatsoever not permanently attached to the sea-bed, including dynamically supported craft, submersibles, or any other floating craft, but does not include a warship, a ship owned or operated by a government when being used as a naval auxiliary or for customs or police purposes, or a ship which has been withdrawn from navigation or laid up."
What is the maximum sentence for a person who commits an offense described in subsection (a)(1) of 18 USC 2280a?,"A person who commits an offense described in subsection (a)(1) shall be fined under this title, imprisoned not more than 20 years, or both; and if the death of any person results from conduct prohibited by this paragraph, shall be imprisoned for any term of years or for life."
What is the maximum prison sentence that can be imposed for someone who unlawfully and intentionally seizes or exercises control over a fixed platform by force or threat thereof or any other form of intimidation?,The maximum prison sentence that can be imposed for someone who unlawfully and intentionally seizes or exercises control over a fixed platform by force or threat thereof or any other form of intimidation is 20 years.
What is the maximum term of imprisonment that can be imposed upon an individual who uses explosive or radioactive material against a fixed platform in a manner that causes death or serious injury?,"If death results to any person from conduct prohibited by this paragraph, shall be imprisoned for any term of years or for life."
What is the maximum punishment for a person who causes the death of another person by engaging in conduct prohibited under subsection (a) of 18 USC 2282A?,Death.
"What is the maximum sentence one can receive if they intentionally destroy, seriously damage, alter, move, or tamper with an aid to maritime navigation under this section?","The maximum sentence one can receive if they intentionally destroy, seriously damage, alter, move, or tamper with an aid to maritime navigation under this section is imprisonment for not more than 20 years."
What is the punishment for any person who causes the death of another person by engaging in conduct prohibited under subsection (a) of 18 USC 2283?,The punishment for any person who causes the death of another person by engaging in conduct prohibited under subsection (a) is punishable by death.
"What is meant by the term ""terrorist"" in this section of the US Code?","Any person who intends to commit, or is avoiding apprehension after having committed, an offense listed under section 2332b(g)(5)(B)."
What is considered prima facie evidence of intent to evade detection under 18 USC 2285?,"The presence of any of the indicia described in paragraph (1)(A), (E), (F), or (G), or in paragraph (4), (5), or (6), of section 70507(b) of title 46 may be considered, in the totality of the circumstances, to be prima facie evidence of intent to evade detection."
"What types of vessels are considered to be ""vessels of the United States"" under this chapter?","According to subsection (a)(2)(C), a vessel is considered to be ""a vessel of the United States"" if it meets the definition under section 22 of the Maritime Drug Law Enforcement Act (46 U.S.C. App. 1903)."
What is the maximum prison sentence that can be imposed for an offense prohibited under subsection (a) of 18 USC 2291?,The maximum prison sentence that can be imposed for an offense prohibited under subsection (a) of 18 USC 2291 is 20 years.
What is the maximum civil penalty that can be imposed on someone who knowingly imparts or conveys false information about an alleged attempt to commit a crime prohibited by this chapter?,"The maximum civil penalty that can be imposed is $5,000."
"What is the meaning given to ""labor dispute"" in 18 USC 2293(b)(1)?","The term ""labor dispute"" has the same meaning given that term in section 13(c) of the Act to amend the Judicial Code and to define and limit the jurisdiction of courts sitting in equity, and for other purposes (29 U.S.C. 113(c), commonly known as the Norris-LaGuardia Act)."
"What is considered ""livestock"" according to this chapter?","According to this chapter, ""Livestock"" means any domestic animals raised for home use, consumption, or profit, such as horses, pigs, llamas, goats, fowl, sheep, buffalo, and cattle, or the carcasses thereof."
"What is the maximum prison sentence for someone who transports stolen vehicles in interstate or foreign commerce, knowing they were stolen?","The maximum prison sentence for someone who transports stolen vehicles in interstate or foreign commerce, knowing they were stolen, is 10 years."
What is the maximum sentence one can receive for violating 18 USC 2313?,"The maximum sentence one can receive for violating 18 USC 2313 is imprisonment not more than 10 years, or both."
"What is the minimum value of goods, wares, merchandise, securities, or money that must be transported in interstate or foreign commerce for an individual to be considered guilty under this section?","The minimum value of goods, wares, merchandise, securities, or money that must be transported in interstate or foreign commerce for an individual to be considered guilty under this section is $5,000."
"What is the maximum sentence for someone who receives, possesses, conceals, stores, barters, sells, or disposes of stolen goods worth $5,000 or more?","The maximum sentence for someone who receives, possesses, conceals, stores, barters, sells, or disposes of stolen goods worth $5,000 or more is imprisonment not more than ten years."
What is the maximum length of imprisonment for someone who transports stolen livestock in interstate or foreign commerce?,The maximum length of imprisonment is not more than five years.
"What is the maximum imprisonment period for someone who sells or receives livestock knowing it was stolen, under 18 USC 2317?","The maximum imprisonment period for someone who sells or receives livestock knowing it was stolen, under 18 USC 2317, is not more than five years."
"What is considered ""counterfeit documentation or packaging"" according to this section?","According to this section, ""counterfeit documentation or packaging"" means documentation or packaging that appears to be genuine, but is not."
What is the maximum imprisonment time for an individual who commits a felony offense under section 506(a)(1)(A) of title 17 for the second or subsequent time?,The maximum imprisonment time for an individual who commits a felony offense under section 506(a)(1)(A) of title 17 for the second or subsequent time is 10 years.
What is the maximum period of imprisonment for an offense under 18 USC 2319A if it is a first-time offense?,"According to the section, the maximum period of imprisonment for an offense under 18 USC 2319A if it is a first-time offense is ""not more than 5 years""."
"What constitutes an ""audiovisual recording device"" under 18 USC 2319B?","An ""audiovisual recording device"" means a digital or analog photographic or video camera, or any other technology or device capable of enabling the recording or transmission of a copyrighted motion picture or other audiovisual work, or any part thereof, regardless of whether audiovisual recording is the sole or primary purpose of the device."
"What is meant by ""work being prepared for commercial public performance"" according to 18 USC 2319C?","According to 18 USC 2319C, a ""work being prepared for commercial public performance"" means:

(A) A computer program, musical work, motion picture or other audiovisual work, or sound recording if:
(i) the copyright owner has a reasonable expectation of commercial public performance; and
(ii) the copies or phonorecords of the work have not been commercially publicly performed in the United States by or with the authorization of the copyright owner.

(B) A motion picture if:
(i)(I) it has been made available for viewing in a motion picture exhibition facility; and
(II) it has not been made available in copies for sale to the general public in the United States by or with the authorization of the copyright owner in a format intended to permit viewing outside a motion picture exhibition facility; or
(ii) had not been commercially publicly performed in the United States by or with the authorization of the copyright owner more than 24 hours before the unauthorized public performance."
"What does the term ""traffic"" mean in the context of 18 USC 2320?","The term ""traffic"" means to transport, transfer, or otherwise dispose of, to another, for purposes of commercial advantage or private financial gain, or to make, import, export, obtain control of, or possess, with intent to so transport, transfer, or otherwise dispose of."
What is considered an identification number for purposes of 18 USC 2321?,"The term ""identification number"" has the meaning given in section 511 of this title."
"What is considered a ""chop shop"" according to this section of 18 USC?","According to this section, a ""chop shop"" means any building, lot, facility, or other structure or premise where one or more persons engage in receiving, concealing, destroying, disassembling, dismantling, reassembling, or storing any passenger motor vehicle or passenger motor vehicle part which has been unlawfully obtained in order to alter, counterfeit, deface, destroy, disguise, falsify, forge, obliterate, or remove the identity, including the vehicle identification number or derivative thereof, of such vehicle or vehicle part and to distribute, sell, or dispose of such vehicle or vehicle part in interstate or foreign commerce."
What property is subject to forfeiture under 18 USC 2323(a)(1)?,"Any article, the making or trafficking of which is prohibited under section 506 of title 17, or section 2318, 2319, 2319A, 2319B, or 2320, or chapter 90, of this title. Additionally, any property used, or intended to be used, in any manner or part to commit or facilitate the commission of an offense referred to in subparagraph (A). And also, any property constituting or derived from any proceeds obtained directly or indirectly as a result of the commission of an offense referred to in subparagraph (A)."
"What is an example of a plan that would be considered ""telemarketing or email marketing"" under 18 USC 2325?","A plan to induce purchases of goods or services by use of one or more interstate telephone calls, emails, text messages, or electronic instant messages initiated either by the person conducting the plan or by a prospective purchaser would be considered ""telemarketing or email marketing"" under 18 USC 2325."
"What is the maximum term of imprisonment that an individual may be sentenced to if they are convicted of an offense under 18 USC 2326, in addition to any other term imposed?","The maximum term of imprisonment that an individual may be sentenced to if they are convicted of an offense under 18 USC 2326, in addition to any other term imposed, is up to 10 years."
What is the mandatory requirement for courts regarding restitution to victims under Section 18 USC 2327?,The court shall order restitution to all victims of any offense for which an enhanced penalty is provided under section 2326.
What types of property must be forfeited to the United States when a person is convicted of an offense for which an enhanced penalty is provided under 18 USC 2326?,"Any property, real or personal, constituting or traceable to gross proceeds obtained from such offense; and any equipment, software, or other technology used or intended to be used to commit or to facilitate the commission of such offense."
What are the primary factors that distinguish international terrorism from domestic terrorism according to 18 USC 2331?,"According to 18 USC 2331, the primary factors that distinguish international terrorism from domestic terrorism are:

* The location where the activities occur. International terrorism occurs primarily outside the territorial jurisdiction of the United States, or transcends national boundaries in terms of the means by which they are accomplished, the persons they appear intended to intimidate or coerce, or the locale in which their perpetrators operate or seek asylum.
* Domestic terrorism, on the other hand, occurs primarily within the territorial jurisdiction of the United States."
"What is the maximum penalty for someone who kills a national of the United States outside the country, if the killing is murder?","The maximum penalty for someone who kills a national of the United States outside the country, if the killing is murder, is death or imprisonment for any term of years or for life."
What is the maximum punishment that can be imposed if death results as a result of an offense described in subsection (a) of 18 USC 2332a?,"The maximum punishment that can be imposed if death results as a result of an offense described in subsection (a) of 18 USC 2332a is ""punished by death or imprisoned for any term of years or for life""."
What is considered an act of terrorism retaliate against government conduct according to 18 USC 2332b?,"According to 18 USC 2332b, an act of terrorism that retaliates against government conduct is considered a violation of the section."
"Whoever, being a United States person, knowing or having reasonable cause to know that a country is designated under section 6(j) of the Export Administration Act of 1979 as a country supporting international terrorism, engages in a financial transaction with the government of that country shall be subject to what penalties?","The penalties are: fined under this title, imprisoned for not more than 10 years, or both."
What is the purpose of the Attorney General's authority to request military assistance under 18 USC 2332e?,The purpose of the Attorney General's authority to request military assistance under 18 USC 2332e is to provide support for Department of Justice activities relating to the enforcement of section 2332a during an emergency situation involving a weapon of mass destruction.
"What is the penalty for violating 18 USC 2332f, as prescribed in subsection (c)?",Whoever violates this section shall be punished as provided under section 2332a(a) of this title.
"What is considered an ""aircraft"" for purposes of this section?","According to subsection (d), an ""aircraft"" has the definition set forth in section 40102(a)(6) of title 49, United States Code."
What is the maximum fine that can be imposed on an individual who violates subsection (a) of 18 USC 2332h?,"The maximum fine that can be imposed on an individual who violates subsection (a) of 18 USC 2332h is $2,000,000."
What are the penalties for violating 18 USC 2332i: Acts of nuclear terrorism?,"The penalties for violating 18 USC 2332i: Acts of nuclear terrorism are:

* Fined not more than $2,000,000
* Imprisoned for any term of years or for life."
What is the maximum amount of damages that can be recovered in an action under subsection (a) for an injury arising from an act of international terrorism?,"Threefold the damages sustained and the cost of the suit, including attorney's fees."
What is considered consent to personal jurisdiction for purposes of any civil action under section 2333 of this title?,"A defendant shall be deemed to have consented to personal jurisdiction in such civil action if, regardless of the date of the occurrence of the act of international terrorism upon which such civil action was filed, the defendant:

1. After the date that is 120 days after the date of the enactment of the Promoting Security and Justice for Victims of Terrorism Act of 2019, makes any payment, directly or indirectly, to any payee designated by any individual who, after being fairly tried or pleading guilty, has been imprisoned for committing any act of terrorism that injured or killed a national of the United States, if such payment is made by reason of such imprisonment; or
2. After 15 days after the date of enactment of the Promoting Security and Justice for Victims of Terrorism Act of 2019:
	* Continues to maintain any office, headquarters, premises, or other facilities or establishments in the United States;
	* Establishes or procures any office, headquarters, premises, or other facilities or establishments in the United States; or
	* Conducts any activity while physically present in the United States on behalf of the Palestine Liberation Organization or the Palestinian Authority.

Note: Paragraph (2) shall not apply to any defendant who ceases to engage in the conduct described in paragraphs (1)(A) and (1)(B) for 5 consecutive calendar years."
What is the maximum amount of time that can pass between the date the cause of action accrued and when a suit for recovery of damages under 18 USC 2333 can be maintained?,The maximum amount of time that can pass between the date the cause of action accrued and when a suit for recovery of damages under 18 USC 2333 can be maintained is 10 years.
Under what circumstances may the Attorney General seek a stay of a civil action under 18 USC 2336(c)?,"The Attorney General may seek a stay of a civil action under 18 USC 2336(c) if the court finds that the continuation of the civil action will substantially interfere with a criminal prosecution which involves the same subject matter and in which an indictment has been returned, or interfere with national security operations related to the terrorist incident that is the subject of the civil action."
Can an action be maintained against a government official for actions taken within their official capacity?,"Yes, an action can be maintained against a government official for actions taken under color of legal authority."
What type of court has exclusive jurisdiction over actions brought under 18 USC 2338?,The district courts of the United States have exclusive jurisdiction over actions brought under 18 USC 2338.
What is the maximum imprisonment term for someone who harbors or conceals a terrorist?,The maximum imprisonment term for someone who harbors or conceals a terrorist is 10 years.
"What is considered ""material support or resources"" under 18 USC 2339A?","According to the section, ""material support or resources"" means any property, tangible or intangible, or service, including:

* Currency or monetary instruments
* Financial securities, financial services
* Lodging
* Training
* Expert advice or assistance
* Safehouses
* False documentation or identification
* Communications equipment
* Facilities
* Weapons
* Lethal substances
* Explosives
* Personnel (1 or more individuals who may be or include oneself)
* Transportation

However, medicine and religious materials are exempt from this definition."
What is the obligation of the defendant in any civil proceeding under 18 USC 2339B?,The defendant's obligation to establish the relevance and materiality of any classified information sought to be introduced.
"What is the definition of ""proceeds"" according to 18 USC 2339C?","According to 18 USC 2339C, the term ""proceeds"" means any funds derived from or obtained, directly or indirectly, through the commission of an offense set forth in subsection (a)."
"What is considered ""military-type training"" under 18 USC 2339D?","According to the section, ""military-type training"" includes training in means or methods that can cause death or serious bodily injury, destroy or damage property, or disrupt services to critical infrastructure, or training on the use, storage, production, or assembly of any explosive, firearm or other weapon, including any weapon of mass destruction."
"What is meant by ""severe mental pain or suffering"" according to 18 USC 2340?","According to 18 USC 2340, ""severe mental pain or suffering"" means the prolonged mental harm caused by or resulting from:

(A) the intentional infliction or threatened infliction of severe physical pain or suffering;

(B) the administration or application, or threatened administration or application, of mind-altering substances or other procedures calculated to disrupt profoundly the senses or the personality;

(C) the threat of imminent death; or

(D) the threat that another person will imminently be subjected to death, severe physical pain or suffering, or the administration or application of mind-altering substances or other procedures calculated to disrupt profoundly the senses or personality."
What is the maximum sentence one can receive if death results to any person from conduct prohibited by 18 USC 2340A?,Punished by death or imprisoned for any term of years or for life.
What is prohibited from being construed as a result of the provisions in this chapter?,"Nothing in this chapter shall be construed as precluding the application of State or local laws on the same subject, nor shall anything in this chapter be construed as creating any substantive or procedural right enforceable by law by any party in any civil proceeding."
"What does the term ""contraband cigarettes"" mean according to 18 USC 2341?","According to 18 USC 2341, ""Contraband cigarettes"" means a quantity in excess of 10,000 cigarettes that bear no evidence of the payment of applicable State or local cigarette taxes in the State or locality where such cigarettes are found, if the State or local government requires a stamp, impression, or other indication to be placed on packages or other containers of cigarettes to evidence payment of cigarette taxes, and which are in the possession of any person other than (A) to (D) listed in subsection (2)."
"What is considered ""contraband"" under this section of US code?","According to the section, contraband cigarettes or contraband smokeless tobacco refers to those cigarettes or smokeless tobacco that are subject to the unlawful acts listed in subsections (a) and (b)."
"What information must a person who ships, sells, or distributes cigarettes or smokeless tobacco in excess of certain quantities maintain about the shipment, receipt, sale, and distribution of these products?","According to subsection (a), such a person must maintain information about the shipment, receipt, sale, and distribution of cigarettes or smokeless tobacco, including:

1. The name, address, destination (including street address), vehicle license number, driver's license number, signature of the person receiving such cigarettes, and the name of the purchaser.
2. A declaration of the specific purpose of the receipt (personal use, resale, or delivery to another); and
3. A declaration of the name and address of the recipient's principal in all cases when the recipient is acting as an agent.

This information must be contained on business records kept in the normal course of business."
What is the maximum imprisonment term for knowingly violating section 2342(a) of this title?,The maximum imprisonment term for knowingly violating section 2342(a) of this title is not more than five years.
What is the effect of this chapter on State and local governments' jurisdiction to enact and enforce their own cigarette tax laws?,The effect of this chapter on State and local governments' jurisdiction to enact and enforce their own cigarette tax laws is that it shall not affect such concurrent jurisdiction.
What is the Attorney General's role in enforcing the provisions of this chapter?,"The Attorney General, subject to the provisions of section 2343(a) of this title, shall enforce the provisions of this chapter and may prescribe such rules and regulations as he deems reasonably necessary to carry out the provisions of this chapter."
What is the punishment for someone found guilty of treason in accordance with 18 USC 2381?,"The punishment for someone found guilty of treason in accordance with 18 USC 2381 is:

* Suffering death
* Being imprisoned not less than five years and fined under this title but not less than $10,000
* Being incapable of holding any office under the United States."
What is the punishment for someone who conceals knowledge of treason against the United States?,"The punishment is a fine under this title or imprisonment not more than seven years, or both."
What is the maximum prison sentence for someone who engages in any rebellion or insurrection against the authority of the United States?,The maximum prison sentence for someone who engages in any rebellion or insurrection against the authority of the United States is not more than ten years.
What is the maximum length of imprisonment for an individual found guilty of seditious conspiracy under 18 USC 2384?,The maximum length of imprisonment for an individual found guilty of seditious conspiracy under 18 USC 2384 is not more than twenty years.
What is the maximum penalty that can be imposed upon an individual convicted of violating 18 USC 2385?,"The maximum penalty that can be imposed upon an individual convicted of violating 18 USC 2385 is imprisonment for not more than twenty years, or both. Additionally, the individual will also be fined under this title and will be ineligible for employment by the United States or any department or agency thereof, for the five years next following their conviction."
"What is considered ""civilian military activity"" according to this section?","According to the section, an organization is engaged in ""civilian military activity"" if:

(1) it gives instruction to, or prescribes instruction for, its members in the use of firearms or other weapons or any substitute therefor, or military or naval science; or
(2) it receives from any other organization or from any individual instruction in military or naval science; or
(3) it engages in any military or naval maneuvers or activities; or
(4) it engages, either with or without arms, in drills or parades of a military or naval character; or
(5) it engages in any other form of organized activity which in the opinion of the Attorney General constitutes preparation for military action."
"What is the maximum prison sentence for someone who violates 18 USC 2387 by advising, counseling, urging, or causing insubordination, disloyalty, mutiny, or refusal of duty by a member of the military or naval forces?",The maximum prison sentence for someone who violates 18 USC 2387 is not more than ten years.
What is the maximum number of years one can be imprisoned for violating 18 USC 2388?,"According to the section, the maximum number of years one can be imprisoned for violating 18 USC 2388 is twenty years."
What is the maximum penalty for someone who recruits soldiers to engage in armed hostility against the United States?,"The maximum penalty for someone who recruits soldiers to engage in armed hostility against the United States is imprisonment not more than five years, or both."
What is the maximum sentence for someone who enlists with intent to serve in armed hostility against the United States?,"The maximum sentence for someone who enlists with intent to serve in armed hostility against the United States is imprisonment not more than three years, or both."
What is the maximum amount of years an individual can be imprisoned for violating 18 USC 2421?,The maximum amount of years an individual can be imprisoned for violating 18 USC 2421 is not more than 10 years.
"What is the maximum term of imprisonment for someone who owns, manages, or operates an interactive computer service with the intent to promote or facilitate prostitution, but does not meet the aggravating factors outlined in subsection (b)?","The maximum term of imprisonment for someone who owns, manages, or operates an interactive computer service with the intent to promote or facilitate prostitution, but does not meet the aggravating factors outlined in subsection (b), is 10 years."
What is the minimum prison sentence for someone who uses the mail or any facility or means of interstate or foreign commerce to coerce an individual under 18 years old into engaging in prostitution or sexual activity?,The minimum prison sentence is not less than 10 years or for life.
What is the minimum sentence that can be imposed upon a person who knowingly transports an individual under 18 years old in interstate or foreign commerce with intent to engage in prostitution or sexual activity for which any person can be charged with a criminal offense?,The minimum sentence that can be imposed upon a person who knowingly transports an individual under 18 years old in interstate or foreign commerce with intent to engage in prostitution or sexual activity for which any person can be charged with a criminal offense is imprisonment not less than 10 years.
What is the penalty for knowingly and willfully stating falsely or failing to disclose any fact in a statement required by this section?,"The penalty for knowingly and willfully stating falsely or failing to disclose any fact in a statement required by this section is ""fined under this title or imprisoned not more than 10 years, or both."""
"What is the minimum age of an individual that must be attained in order for someone to transmit their information with the intent to entice, encourage, offer, or solicit sexual activity?",The minimum age of an individual that must be attained is 16 years.
What is the maximum term of imprisonment for a violation of 18 USC 2426 if there is a prior sex offense conviction?,"The maximum term of imprisonment for a violation of 18 USC 2426 if there is a prior sex offense conviction is 3 times the term of imprisonment otherwise provided by this chapter, unless section 3559(e) applies."
"What is included in the definition of ""sexual activity for which any person can be charged with a criminal offense""?","The production of child pornography, as defined in section 2256(8)."
